s,t,time_min,distance_km,s_Node_Number,t_Node_Number
5Th Avenue - Caloocan,Monumento,5.0,1.4,33,34
5Th Avenue - Caloocan,A.Mabini Avenue,3.0,1.0,33,32
5Th Avenue - Caloocan,Abad Santos,5.0,1.6,33,40
5Th Avenue - Caloocan,Sgt. Rivera,3.0,1.1,33,129
5Th Avenue Cor. R10,MMDA Navotas Bus Terminal,3.0,1.6,28,29
5Th Avenue Cor. R10,Capulong Street,4.0,2.2,28,27
A.Mabini Avenue,Lapu-Lapu Avenue,5.0,2.0,32,31
Abad Santos,Blumentritt Road,4.0,0.95,40,41
Alabang,SM Center Muntinlupa,14.0,4.5,7,8
Alabang,RobinsonsLas Pinas,23.0,6.1,7,149
Alabang,Sucat Exit,4.0,4.1,7,9
Amparo,SM Fairview,7.0,2.7,104,103
Amparo,Pangarap,5.0,1.9,104,105
Anastacio Road,Cavalry Drive.,5.0,2.1,56,57
Anastacio Road,EDSA Carousel - Buendia,4.0,1.4,56,142
Antonio Arnaiz Avenue,Gil Puyat Avenue,1.0,1.0,20,21
Antonio Arnaiz Avenue,Heritage Hotel,1.0,1.0,20,1
Araneta Avenue - Quezon,Timog Avenue,6.0,1.8,93,140
Araneta Avenue - Quezon,Banawe,2.0,0.7,93,92
Arnaiz Avenue,Magallanes Bus Stop,3.0,1.4,52,19
Arnaiz Avenue,Buendia Avenue,2.0,0.8,52,49
Arsenio H. Lacson Avenue,Espana,2.0,0.55,89,90
Arsenio H. Lacson Avenue,FEU,4.0,1.0,89,88
Ayala Avenue,Makati Avenue,4.0,1.3,50,137
Ayala Avenue,Buendia Avenue,7.0,0.9,50,49
Balintawak Bus Terminal,Kaingin Road,2.0,1.1,130,147
Balintawak Bus Terminal,VGC,7.0,5.9,130,123
Balintawak Bus Terminal,Sgt. Rivera,4.0,1.5,130,129
Banawe,Rotonda,3.0,0.9,92,135
Batasan,C-5 R-7,4.0,3.0,97,139
Batasan,Litex,2.0,1.4,97,98
Batasan,Filinvest 2,4.0,1.6,97,99
Bayani Road,Taguig District Hospital / FTI,5.0,2.5,127,17
Bayani Road,Diego Silang Footbridge,2.0,1.3,127,53
Bayview,Intramuros / Anda Circle,5.0,1.5,23,24
Bayview,Ospital Ng Maynila,4.0,1.8,23,22
Betty Go-Belmonte,Cubao,3.0,0.9,74,126
Betty Go-Belmonte,Robinsons Magnolia,2.0,0.6,74,73
Bicutan Exit,Taguig District Hospital / FTI,3.0,3.0,16,17
Bicutan Exit,Sucat Exit,3.0,3.7,16,9
Blumentritt - Sampaloc,Rotonda,1.0,0.45,91,135
Blumentritt - Sampaloc,Espana,1.0,0.35,91,90
Blumentritt Road,Chinese General Hospital,4.0,0.9,41,128
Blumentritt Road,Tayuman,3.0,0.7,41,42
Bonny Serrano Avenue,Gilmore,5.0,1.1,75,72
Bonny Serrano Avenue,Robinsons Galleria,9.0,2.5,75,76
Bonny Serrano Avenue,Valencia,3.0,0.65,75,132
Buendia,Quirino Avenue - Manila,8.0,1.9,47,46
Buendia,Gil Puyat Avenue,3.0,0.9,47,21
Buendia,Libertad,3.0,0.7,47,48
Buendia,Buendia Avenue,7.0,1.2,47,49
C-5 Ortigas,Julia Vargas Avenue,2.0,0.85,78,79
C-5 Ortigas,Rosario,2.0,0.5,78,81
C-5 Ortigas,Calle Industria,4.0,1.8,78,84
C-5 Ortigas,Emerald Avenue,9.0,1.8,78,77
C-5 R-7,Tandang Sora - Congressional,6.0,2.8,139,117
C-5 R-7,UP Town Center,4.0,2.3,139,87
C-5 R-7,Philcoa,4.0,2.3,139,96
Calle Industria,Quirino Memorial Medical Center,6.0,2.6,84,85
Capitol Commons,Dahlia,3.0,0.45,63,62
Capitol Commons,EDSA-Shaw,5.0,1.1,63,64
Capulong Street,Moriones Street,3.0,1.2,27,26
Cavalry Drive.,Market Market,3.0,1.1,57,55
Cavalry Drive.,Pasig Boulevard,3.0,1.4,57,60
Centris Station (EDSA / Quezon Avenue),Timog Avenue,5.0,1.4,94,140
Centris Station (EDSA / Quezon Avenue),GMA-Kamuning MRT,2.0,1.4,94,95
Centris Station (EDSA / Quezon Avenue),Quezon Memorial Circle,5.0,1.5,94,125
Centris Station (EDSA / Quezon Avenue),SM North EDSA,4.0,1.6,94,113
Chinese General Hospital,FEU,11.0,2.6,128,88
Chinese General Hospital,Sgt. Rivera,9.0,2.5,128,129
City of Dreams,DFA,2.0,0.7,3,136
City of Dreams,Pitx,8.0,2.3,3,4
Cubao,GMA-Kamuning MRT,5.0,1.7,126,95
EDSA-Shaw,Robinsons Galleria,3.0,1.4,64,76
Cubao,K. Hari,7.0,2.2,126,134
