s,t,time_min,distance_km
5Th Avenue - Caloocan,Monumento,5,1.4
5Th Avenue - Caloocan,A.Mabini Avenue,3,1
5Th Avenue - Caloocan,Abad Santos,5,1.6
5Th Avenue - Caloocan,Sgt. Rivera,3,1.1
5Th Avenue Cor. R10,MMDA Navotas Bus Terminal,3,1.6
5Th Avenue Cor. R10,Capulong Street,4,2.2
A.Mabini Avenue,Lapu-Lapu Avenue,5,2
Abad Santos,Blumentritt Road,4,0.95
Alabang,SM Center Muntinlupa,14,4.5
Alabang,Tramo,32,10.4
Alabang,Sucat Exit,4,4.1
Amparo,SM Fairview,7,2.7
Amparo,Pangarap,5,1.9
Anastacio Road,Cavalry Drive.,5,2.1
Anastacio Road,EDSA Carousel - Buendia,4,1.4
Antonio Arnaiz Avenue,Gil Puyat Avenue,1,1
Antonio Arnaiz Avenue,Heritage Hotel,1,1
Araneta Avenue - Quezon,Timog Avenue,6,1.8
Araneta Avenue - Quezon,Banawe,2,0.7
Arnaiz Avenue,Magallanes Bus Stop,3,1.4
Arnaiz Avenue,Buendia Avenue,2,0.8
Arsenio H. Lacson Avenue,Espana,2,0.55
Arsenio H. Lacson Avenue,FEU,4,1
Ayala Avenue,Makati Avenue,4,1.3
Ayala Avenue,Buendia Avenue,7,0.9
Balintawak Bus Terminal,Roosevelt - Quezon,4,2.3
Balintawak Bus Terminal,VGC,7,5.9
Balintawak Bus Terminal,Sgt. Rivera,4,1.5
Banawe,Rotonda,3,0.9
Batasan,C-5 R-7,4,3
Batasan,Litex,2,1.4
Batasan,Filinvest 2,4,1.6
Bayani Road,Taguig District Hospital / FTI,5,2.5
Bayani Road,Diego Silang Footbridge,2,1.3
Bayview,Intramuros / Anda Circle,5,1.5
Bayview,Ospital Ng Maynila,4,1.8
Betty Go-Belmonte,Cubao,3,0.9
Betty Go-Belmonte,Robinsons Magnolia,2,0.6
Bicutan Exit,Taguig District Hospital / FTI,3,3
Bicutan Exit,Sucat Exit,3,3.7
Blumentritt - Sampaloc,Rotonda,1,0.45
Blumentritt - Sampaloc,Espana,1,0.35
Blumentritt Road,Chinese General Hospital,4,0.9
Blumentritt Road,Tayuman,3,0.7
Bonny Serrano Avenue,Gilmore,5,1.1
Bonny Serrano Avenue,Robinsons Galleria,9,2.5
Bonny Serrano Avenue,Valencia,3,0.65
Buendia,Quirino Avenue - Manila,8,1.9
Buendia,Gil Puyat Avenue,3,0.9
Buendia,Libertad,3,0.7
Buendia,Buendia Avenue,7,1.2
C-5 Ortigas,Julia Vargas Avenue,2,0.85
C-5 Ortigas,Rosario,2,0.5
C-5 Ortigas,Calle Industria,4,1.8
C-5 Ortigas,Emerald Avenue,9,1.8
C-5 R-7,Tandang Sora - Congressional,6,2.8
C-5 R-7,UP Town Center,4,2.3
C-5 R-7,Philcoa,4,2.3
Calle Industria,Quirino Memorial Medical Center,6,2.6
Capitol Commons,Dahlia,3,0.45
Capitol Commons,EDSA-Shaw,5,1.1
Capulong Street,Moriones Street,3,1.2
Cavalry Drive.,Market Market,3,1.1
Cavalry Drive.,Pasig Boulevard,3,1.4
Centris Station (EDSA / Quezon Avenue),Timog Avenue,5,1.4
Centris Station (EDSA / Quezon Avenue),GMA-Kamuning MRT,2,1.4
Centris Station (EDSA / Quezon Avenue),Quezon Memorial Circle,5,1.5
Centris Station (EDSA / Quezon Avenue),SM North EDSA,4,1.6
Chinese General Hospital,FEU,11,2.6
Chinese General Hospital,Sgt. Rivera,9,2.5
City of Dreams,DFA,2,0.7
City of Dreams,Pitx,8,2.3
Cubao,GMA-Kamuning MRT,5,1.7
Cubao,Robinsons Galleria,11,3.4
Cubao,K. Hari,7,2.2
Cubao,Katipunan Avenue,17,2.9
Dagat Dagatan,Lapu-Lapu Avenue,2,0.35
Dagat Dagatan,MMDA Navotas Bus Terminal,5,1.7
Dahlia,Rizal Medical Center,2,1
DFA,SM MOA Globe EDSA,5,1.4
Diamond Road,Novaliches Market,11,2.5
Diamond Road,VGC,12,3.1
Diego Silang Footbridge,Upper McKinley Road,3.5,1.5
Doroteo Jose - Recto,Tayuman,5,1.5
Doroteo Jose - Recto,Lawton,3,1.2
Doroteo Jose - Recto,Isetann Recto,1,0.3
EDSA Carousel - Buendia,Makati Avenue,4,1.1
EDSA Carousel - Buendia,Glorietta 5,2,0.9
EDSA Taft Avenue,Libertad,5,1.2
EDSA Taft Avenue,Magallanes Bus Stop,7,2.3
EDSA Taft Avenue,Heritage Hotel,6,0.9
EDSA Taft Avenue,NAIA Terminal 3,12,3.3
EDSA-Shaw,Shaw Center Mall,5,2.1
Emerald Avenue,Robinsons Galleria,2,0.7
FEU,Isetann Recto,1,0.18
Filinvest 2,Northview,3,0.95
Gil Puyat Avenue,Ospital Ng Maynila,4,1.4
Gilmore,Robinsons Magnolia,1,0.45
Gilmore,J. Ruiz,4,0.9
Glorietta 5,Magallanes Bus Stop,4,2
GMA-Kamuning MRT,Quezon Memorial Circle,8,2.7
Gov Santiago,T Santiago,5,2
Gov Santiago,Karuhatan Road,5,1.2
Heritage Hotel,SM MOA Globe EDSA,4,1
Heritage Hotel,Pitx,6,3.1
Intramuros / Anda Circle,Recto Avenue,3,1.2
Isetann Recto,Legarda Street,3,0.95
Isetann Recto,Quiapo,1,0.5
J. Ruiz,V.Mapa,4,1.2
Julia Vargas Avenue,Lanuza Avenue,1,0.65
K. Hari,Quezon Institute,5,2.1
Kalentong,Shaw Center Mall,4,1.2
Karuhatan Road,Victoneta Avenue,7,3
Katipunan Avenue,UP Town Center,7,2
Katipunan Avenue,Quirino Memorial Medical Center,2,1.2
Katipunan Avenue,Marikina Bayan,3,0.9
Katipunan Avenue,SM Marikina,3,1.6
Lanuza Avenue,Pasig Boulevard,3,1.4
Lawton,United Nations Avenue,4,1.5
Lawton,Quiapo,2,0.8
Legarda Street,Nagtahan,2,0.8
Litex,Regalado Avenue,5,2.3
Luckygold Plaza,SM City East Ortigas,6,1.2
Luckygold Plaza,Rosario,4,1
Magallanes Bus Stop,Nichols,4,2.8
Malanday,T Santiago,2,0.9
Malaria,Pangarap,5,1.3
Marikina Bayan,Nangka,12,4.4
Market Market,Upper McKinley Road,3,1.2
Mindanao - Congressional,Veterans Memorial Medical Center,3,1
Mindanao - Congressional,Tandang Sora - Mindanao,3,1.1
Mindanao - Congressional,Shorthorn Street,4,1.4
Mindanao - Congressional,Visayas Avenue,4,1.1
Mindanao Avenue - Fairview,Regalado Avenue,9,2.6
Mindanao Avenue - Fairview,Zabarte Road,4,1.4
Monumento,Victoneta Avenue,4,1.3
Moriones Street,Recto Avenue,3,1.3
Nagtahan,Old Sta. Mesa Street,3,1.3
NAIA Terminal 1,NAIA Terminal 2,9,2.4
NAIA Terminal 1,Pitx,8,3.3
NAIA Terminal 2,NAIA Terminal 4,8,2.6
NAIA Terminal 4,NAIA Terminal 3,9,2.3
Nichols,Taguig District Hospital / FTI,4,1.7
Novaliches Market,Quirino Avenue - Quezon,11,3.9
Novaliches Market,Novaliches Terminal,3,0.9
Old Sta. Mesa Street,V.Mapa,2,0.7
Ospital Ng Maynila,Quirino Avenue - Manila,3,1
Pasig Boulevard,Pasig Rotonda - Jollibee,1,0.6
Pasig Boulevard,Rizal Medical Center,2,0.8
Pasig Palengke,Pasig Rotonda - Jollibee,5,1.7
Philcoa,Quezon Memorial Circle,2,1
Pinaglabanan,Valencia,3,1.1
Pinaglabanan,V.Mapa,4,1.4
Pitx,Sto. Nino,12,4.7
Pitx,Tramo,11,7.6
Quezon Institute,Rotonda,3,1.2
Quezon Memorial Circle,SM North EDSA,8,3
Quezon Memorial Circle,Visayas Avenue,6,3
Quirino Avenue - Manila,United Nations Avenue,4,1.5
Quirino Avenue - Quezon,Tandang Sora - Mindanao,3,1.7
Roosevelt - Quezon,Shorthorn Street,3,1.6
Roosevelt - Quezon,SM North EDSA,2,0.8
SM City Sucat,Sucat Exit,12,6.7
SM City Sucat,Sto. Nino,5,2.5
SM Fairview,Zabarte Road,5,2.3
SM Marikina,Sta. Lucia East Grand Mall Cainta,3,1.8
SM North EDSA,Veterans Memorial Medical Center,8,3.7
Tandang Sora - Congressional,Visayas Avenue,2,0.65
Zabarte Road,Camarin,14,4.2
Bagong Silang Market,Camarin,3,0.7
Novaliches Terminal,Zabarte Road,4,1
