WKT,name,description
"POINT (120.9924048 14.5367089)",Heritage Hotel,
"POINT (120.983438 14.535123)",SM MOA Globe EDSA,
"POINT (120.99066 14.52384)",City of Dreams,
"POINT (120.991283 14.50936)",Pitx,
"POINT (120.999887 14.537281)",EDSA Taft Avenue,
"POINT (120.968356 14.465484)",Tramo,
"POINT (121.045226 14.416794)",Alabang,
"POINT (121.0464433 14.3777325)",SM Center Muntinlupa,
"POINT (121.044772 14.453426)",Sucat Exit,
"POINT (120.993762 14.4848585)",SM City Sucat,
"POINT (120.9983969 14.5021011)",Sto. Nino,
"POINT (121.00429 14.50709)",NAIA Terminal 1,
"POINT (121.012201 14.510326)",NAIA Terminal 2,
"POINT (121.000944 14.524833)",NAIA Terminal 4,
"POINT (121.0134604 14.5211597)",NAIA Terminal 3,
"POINT (121.0453195 14.487789)",Bicutan Exit,
"POINT (121.03398 14.510504)",Taguig District Hospital / FTI,
"POINT (121.0265708 14.5235814)",Nichols,
"POINT (121.0171611 14.5405458)",Magallanes Bus Stop,
"POINT (120.990943 14.5458532)",Antonio Arnaiz Avenue,
"POINT (120.9894705 14.5518917)",Gil Puyat Avenue,
"POINT (120.9850717 14.5639272)",Ospital Ng Maynila,
"POINT (120.9778726 14.5785886)",Bayview,
"POINT (120.9709632 14.590322)",Intramuros / Anda Circle,
"POINT (120.9648371 14.5993653)",Recto Avenue,
"POINT (120.960921 14.6092071)",Moriones Street,
"POINT (120.9596765 14.6200046)",Capulong Street,
"POINT (120.9556961 14.6396662)",5Th Avenue Cor. R10,
"POINT (120.94784 14.65121)",MMDA Navotas Bus Terminal,
"POINT (120.9617687 14.657385)",Dagat Dagatan,
"POINT (120.9638178 14.6546136)",Lapu-Lapu Avenue,
"POINT (120.9743857 14.645022)",A.Mabini Avenue,
"POINT (120.9834892 14.6446383)",5Th Avenue - Caloocan,
"POINT (120.9837862 14.6572571)",Monumento,
"POINT (120.984284 14.66547799999999)",Victoneta Avenue,
"POINT (120.974182 14.689756)",Karuhatan Road,
"POINT (120.964498 14.692668)",Gov Santiago,
"POINT (120.959907 14.709288)",T Santiago,
"POINT (120.957346 14.716984)",Malanday,
"POINT (120.9811664 14.6308114)",Abad Santos,
"POINT (120.9828079 14.6230874)",Blumentritt Road,
"POINT (120.9826469 14.6169727)",Tayuman,
"POINT (120.9818959 14.6037358)",Doroteo Jose - Recto,
"POINT (120.979495 14.594223)",Lawton,
"POINT (120.9850992 14.5821547)",United Nations Avenue,
"POINT (120.99163 14.56989)",Quirino Avenue - Manila,
"POINT (120.9977102 14.5543)",Buendia,
"POINT (120.9985578 14.5478002)",Libertad,
"POINT (121.007967 14.5578317)",Buendia Avenue,
"POINT (121.015329 14.561017)",Ayala Avenue,
"POINT (121.027084 14.551484)",Glorietta 5,
"POINT (121.0110363 14.5512472)",Arnaiz Avenue,
"POINT (121.0563541 14.5276422)",Diego Silang Footbridge,
"POINT (121.0557318 14.5406548)",Upper McKinley Road,
"POINT (121.05635 14.54886)",Market Market,
"POINT (121.0463011 14.5587762)",Anastacio Road,
"POINT (121.0616541 14.5575824)",Cavalry Drive.,
"POINT (121.0832963 14.5588552)",Pasig Palengke,
"POINT (121.0760276 14.5658427)",Pasig Rotonda - Jollibee,
"POINT (121.0704517 14.5657341)",Pasig Boulevard,
"POINT (121.065489 14.563927)",Rizal Medical Center,
"POINT (121.0647772 14.5717357)",Dahlia,
"POINT (121.0615854 14.5745405)",Capitol Commons,
"POINT (121.0539082 14.580967)",EDSA-Shaw,
"POINT (121.037014 14.5894506)",Shaw Center Mall,
"POINT (121.0269753 14.5937302)",Kalentong,
"POINT (120.9850338 14.6031241)",Isetann Recto,
"POINT (120.9999955 14.601026)",Nagtahan,
"POINT (121.0115612 14.60222)",Old Sta. Mesa Street,
"POINT (121.0172515 14.6041333)",V.Mapa,
"POINT (121.0260451 14.6104742)",J. Ruiz,
"POINT (121.0341668 14.6134434)",Gilmore,
"POINT (121.0379004 14.6155396)",Robinsons Magnolia,
"POINT (121.0427713 14.6185097)",Betty Go-Belmonte,
"POINT (121.039322 14.6073646)",Bonny Serrano Avenue,
